,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Open Source Trip Gen Data - A Service of Spack Consulting",,,,,,,,,,,,,,,,,,,
,"888.232.5512 | www.SpackConsulting.com",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wodbury, MN Office",,,,,,,"Wodbury, MN Office",,,,,,,"Wodbury, MN Office",,,,,,,"Wodbury, MN Office",,,,,
,KSF,,,25.555,,,,KSF,,,25.555,,,,KSF,,,25.555,,,,KSF,,,25.555,,
,"3/26/2015 Thursday","15 Minute",,Hourly,,,,"3/27/2015 Friday","15 Minute",,Hourly,,,,"3/28/2015 Saturday","15 Minute",,Hourly,,,,"3/29/2015 Sunday","15 Minute",,Hourly,,
,,Enter,Exit,total,enter,exit,,,Enter,Exit,total,enter,exit,,,Enter,Exit,total,enter,exit,,,Enter,Exit,total,enter,exit
,00:00:00,0,0,0,0,0,,00:00:00,0,0,0,0,0,,00:00:00,0,0,0,0,0,,00:00:00,0,0,0,0,0
,00:15:00,0,0,0,0,0,,00:15:00,0,0,0,0,0,,00:15:00,0,0,0,0,0,,00:15:00,0,0,0,0,0
,00:30:00,0,0,0,0,0,,00:30:00,0,0,0,0,0,,00:30:00,0,0,0,0,0,,00:30:00,0,0,0,0,0
,00:45:00,0,0,0,0,0,,00:45:00,0,0,0,0,0,,00:45:00,0,0,0,0,0,,00:45:00,0,0,0,0,0
,01:00:00,0,0,0,0,0,,01:00:00,0,0,0,0,0,,01:00:00,0,0,0,0,0,,01:00:00,0,0,0,0,0
,01:15:00,0,0,0,0,0,,01:15:00,0,0,0,0,0,,01:15:00,0,0,0,0,0,,01:15:00,0,0,0,0,0
,01:30:00,0,0,0,0,0,,01:30:00,0,0,0,0,0,,01:30:00,0,0,0,0,0,,01:30:00,0,0,0,0,0
,01:45:00,0,0,0,0,0,,01:45:00,0,0,0,0,0,,01:45:00,0,0,0,0,0,,01:45:00,0,0,0,0,0
,02:00:00,0,0,0,0,0,,02:00:00,0,0,0,0,0,,02:00:00,0,0,0,0,0,,02:00:00,0,0,0,0,0
,02:15:00,0,0,0,0,0,,02:15:00,0,0,0,0,0,,02:15:00,0,0,0,0,0,,02:15:00,0,0,0,0,0
,02:30:00,0,0,0,0,0,,02:30:00,0,0,0,0,0,,02:30:00,0,0,0,0,0,,02:30:00,0,0,0,0,0
,02:45:00,0,0,2,1,1,,02:45:00,0,0,0,0,0,,02:45:00,0,0,0,0,0,,02:45:00,0,0,0,0,0
,03:00:00,0,0,2,1,1,,03:00:00,0,0,2,1,1,,03:00:00,0,0,0,0,0,,03:00:00,0,0,0,0,0
,03:15:00,0,0,2,1,1,,03:15:00,0,0,2,1,1,,03:15:00,0,0,0,0,0,,03:15:00,0,0,0,0,0
,03:30:00,1,1,2,1,1,,03:30:00,0,0,2,1,1,,03:30:00,0,0,0,0,0,,03:30:00,0,0,0,0,0
,03:45:00,0,0,0,0,0,,03:45:00,1,1,2,1,1,,03:45:00,0,0,0,0,0,,03:45:00,0,0,0,0,0
,04:00:00,0,0,0,0,0,,04:00:00,0,0,0,0,0,,04:00:00,0,0,0,0,0,,04:00:00,0,0,0,0,0
,04:15:00,0,0,0,0,0,,04:15:00,0,0,0,0,0,,04:15:00,0,0,0,0,0,,04:15:00,0,0,0,0,0
,04:30:00,0,0,0,0,0,,04:30:00,0,0,0,0,0,,04:30:00,0,0,0,0,0,,04:30:00,0,0,0,0,0
,04:45:00,0,0,2,1,1,,04:45:00,0,0,0,0,0,,04:45:00,0,0,0,0,0,,04:45:00,0,0,0,0,0
,05:00:00,0,0,2,1,1,,05:00:00,0,0,1,1,0,,05:00:00,0,0,0,0,0,,05:00:00,0,0,0,0,0
,05:15:00,0,0,3,2,1,,05:15:00,0,0,2,2,0,,05:15:00,0,0,0,0,0,,05:15:00,0,0,0,0,0
,05:30:00,1,1,6,4,2,,05:30:00,0,0,3,3,0,,05:30:00,0,0,0,0,0,,05:30:00,0,0,2,1,1
,05:45:00,0,0,5,4,1,,05:45:00,1,0,10,9,1,,05:45:00,0,0,0,0,0,,05:45:00,0,0,2,1,1
,06:00:00,1,0,13,12,1,,06:00:00,1,0,19,18,1,,06:00:00,0,0,5,5,0,,06:00:00,0,0,3,2,1
,06:15:00,2,1,20,19,1,,06:15:00,1,0,25,23,2,,06:15:00,0,0,6,6,0,,06:15:00,1,1,3,2,1
,06:30:00,1,0,34,33,1,,06:30:00,6,1,35,31,4,,06:30:00,0,0,6,6,0,,06:30:00,0,0,1,1,0
,06:45:00,8,0,45,41,4,,06:45:00,10,0,39,33,6,,06:45:00,5,0,6,6,0,,06:45:00,1,0,1,1,0
,07:00:00,8,0,47,40,7,,07:00:00,6,1,43,33,10,,07:00:00,1,0,4,1,3,,07:00:00,0,0,0,0,0
,07:15:00,16,1,51,37,14,,07:15:00,9,2,50,34,16,,07:15:00,0,0,7,3,4,,07:15:00,0,0,0,0,0
,07:30:00,9,3,52,32,20,,07:30:00,8,3,52,35,17,,07:30:00,0,0,9,5,4,,07:30:00,0,0,0,0,0
,07:45:00,7,3,59,37,22,,07:45:00,10,4,59,37,22,,07:45:00,0,3,11,7,4,,07:45:00,0,0,0,0,0
,08:00:00,5,7,66,42,24,,08:00:00,7,7,57,35,22,,08:00:00,3,1,12,10,2,,08:00:00,0,0,0,0,0
