,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Open Source Trip Gen Data - A Service of Spack Consulting",,,,,,,,,,,,,,,,,,,
,"888.232.5512 | www.SpackConsulting.com",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Maple Grove, MN Office",,,,,,,"Maple Grove, MN Office",,,,,,,"Maple Grove, MN Office",,,,,,,"Maple Grove, MN Office",,,,,
,KSF,,,166,,,,KSF,,,166,,,,KSF,,,166,,,,KSF,,,166,,
,"8/26/2014 Tuesday","15 Minute",,Hourly,,,,"8/27/2014 Wednesday","15 Minute",,Hourly,,,,"9/10/2014 Wednesday","15 Minute",,Hourly,,,,"9/11/2014 Thursday","15 Minute",,Hourly,,
,,Enter,Exit,total,enter,exit,,,Enter,Exit,total,enter,exit,,,Enter,Exit,total,enter,exit,,,Enter,Exit,total,enter,exit
,00:00:00,0,0,0,0,0,,00:00:00,0,0,0,0,0,,00:00:00,0,0,0,0,0,,00:00:00,0,0,1,1,0
,00:15:00,0,0,0,0,0,,00:15:00,0,0,0,0,0,,00:15:00,0,0,0,0,0,,00:15:00,1,0,1,1,0
,00:30:00,0,0,0,0,0,,00:30:00,0,0,0,0,0,,00:30:00,0,0,0,0,0,,00:30:00,0,0,0,0,0
,00:45:00,0,0,0,0,0,,00:45:00,0,0,0,0,0,,00:45:00,0,0,0,0,0,,00:45:00,0,0,0,0,0
,01:00:00,0,0,0,0,0,,01:00:00,0,0,0,0,0,,01:00:00,0,0,0,0,0,,01:00:00,0,0,0,0,0
,01:15:00,0,0,0,0,0,,01:15:00,0,0,0,0,0,,01:15:00,0,0,0,0,0,,01:15:00,0,0,0,0,0
,01:30:00,0,0,0,0,0,,01:30:00,0,0,0,0,0,,01:30:00,0,0,0,0,0,,01:30:00,0,0,0,0,0
,01:45:00,0,0,0,0,0,,01:45:00,0,0,0,0,0,,01:45:00,0,0,0,0,0,,01:45:00,0,0,0,0,0
,02:00:00,0,0,0,0,0,,02:00:00,0,0,0,0,0,,02:00:00,0,0,0,0,0,,02:00:00,0,0,0,0,0
,02:15:00,0,0,0,0,0,,02:15:00,0,0,0,0,0,,02:15:00,0,0,0,0,0,,02:15:00,0,0,0,0,0
,02:30:00,0,0,0,0,0,,02:30:00,0,0,0,0,0,,02:30:00,0,0,0,0,0,,02:30:00,0,0,0,0,0
,02:45:00,0,0,0,0,0,,02:45:00,0,0,0,0,0,,02:45:00,0,0,0,0,0,,02:45:00,0,0,0,0,0
,03:00:00,0,0,0,0,0,,03:00:00,0,0,1,0,1,,03:00:00,0,0,0,0,0,,03:00:00,0,0,0,0,0
,03:15:00,0,0,0,0,0,,03:15:00,0,0,1,0,1,,03:15:00,0,0,0,0,0,,03:15:00,0,0,0,0,0
,03:30:00,0,0,0,0,0,,03:30:00,0,0,1,0,1,,03:30:00,0,0,0,0,0,,03:30:00,0,0,0,0,0
,03:45:00,0,0,0,0,0,,03:45:00,0,1,2,1,1,,03:45:00,0,0,0,0,0,,03:45:00,0,0,1,1,0
,04:00:00,0,0,0,0,0,,04:00:00,0,0,3,3,0,,04:00:00,0,0,1,1,0,,04:00:00,0,0,1,1,0
,04:15:00,0,0,1,1,0,,04:15:00,0,0,4,4,0,,04:15:00,0,0,2,2,0,,04:15:00,0,0,1,1,0
,04:30:00,0,0,3,3,0,,04:30:00,1,0,5,5,0,,04:30:00,0,0,3,2,1,,04:30:00,1,0,2,2,0
,04:45:00,0,0,5,4,1,,04:45:00,2,0,6,5,1,,04:45:00,1,0,7,5,2,,04:45:00,0,0,5,5,0
,05:00:00,1,0,5,4,1,,05:00:00,1,0,7,5,2,,05:00:00,1,0,10,7,3,,05:00:00,0,0,10,7,3
,05:15:00,2,0,7,5,2,,05:15:00,1,0,10,6,4,,05:15:00,0,1,14,10,4,,05:15:00,1,0,13,10,3
,05:30:00,1,1,11,8,3,,05:30:00,1,1,16,12,4,,05:30:00,3,1,21,18,3,,05:30:00,4,0,17,14,3
,05:45:00,0,0,25,23,2,,05:45:00,2,1,23,19,4,,05:45:00,3,1,28,26,2,,05:45:00,2,3,28,24,4
,06:00:00,2,1,34,32,2,,06:00:00,2,2,37,33,4,,06:00:00,4,1,36,34,2,,06:00:00,3,0,37,34,3
,06:15:00,5,1,46,45,1,,06:15:00,7,0,47,45,2,,06:15:00,8,0,52,51,1,,06:15:00,5,0,52,49,3
,06:30:00,16,0,69,68,1,,06:30:00,8,1,61,59,2,,06:30:00,11,0,61,59,2,,06:30:00,14,1,69,66,3
,06:45:00,9,0,73,70,3,,06:45:00,16,1,73,72,1,,06:45:00,11,1,67,64,3,,06:45:00,12,2,67,64,3
,07:00:00,15,0,88,84,4,,07:00:00,14,0,83,81,2,,07:00:00,21,0,84,80,4,,07:00:00,18,0,82,76,6
,07:15:00,28,1,100,96,4,,07:15:00,21,0,100,94,6,,07:15:00,16,1,91,84,7,,07:15:00,22,0,84,77,7
,07:30:00,18,2,89,86,3,,07:30:00,21,0,96,89,7,,07:30:00,16,1,91,82,9,,07:30:00,12,1,82,73,9
,07:45:00,23,1,88,87,1,,07:45:00,25,2,86,78,8,,07:45:00,27,2,91,81,10,,07:45:00,24,5,81,72,9
,08:00:00,27,0,72,72,0,,08:00:00,27,4,69,63,6,,08:00:00,25,3,72,63,9,,08:00:00,19,1,70,64,6
